Job_Title,Experience_Level,avg_total_compensation
"Assistant Project Manager","2 - 4 years",67000.000000
"Assistant Project Manager","1 year or less",62876.500000
"Assistant Project Manager","11 - 20 years",52450.000000
"Assistant Project Manager-site acquisition ","5-7 years",60000.000000
"Assistant Property Manager","31 - 40 years",57500.000000
"Assistant property manager","21 - 30 years",46000.000000
"Assistant Property Manager ","5-7 years",56440.000000
"Assistant public defender","11 - 20 years",70000.000000
"Assistant Public Defender","2 - 4 years",57500.000000
"Assistant Public Defender","8 - 10 years",50000.000000
"Assistant Public Defender ","11 - 20 years",80000.000000
"Assistant Public Defender II","11 - 20 years",102500.000000
"Assistant Quality Manager ","2 - 4 years",72100.000000
"Assistant Registrar","11 - 20 years",57500.000000
"Assistant Registrar","5-7 years",50003.000000
"Assistant Registrar","8 - 10 years",39000.000000
"Assistant Registrar for Academic Services","11 - 20 years",77000.000000
"Assistant Registrar for Catalog","8 - 10 years",53000.000000
"Assistant Research Engineer","2 - 4 years",133000.000000
"Assistant Research Professor","2 - 4 years",113000.000000
"Assistant Residential Dean","11 - 20 years",35000.000000
"Assistant Resource Specialist ","5-7 years",100200.000000
"Assistant Retail Manager","11 - 20 years",41600.000000
"Assistant Sales Manager","11 - 20 years",70000.000000
"Assistant Scientist","5-7 years",102000.000000
"Assistant Scientist","1 year or less",53800.000000
"Assistant Script Editor","5-7 years",25500.000000
"Assistant Secretary ","11 - 20 years",27800.000000
"Assistant SEO Manager","11 - 20 years",77000.000000
"Assistant service manager","11 - 20 years",105000.000000
"Assistant Service Manager (NHS)","2 - 4 years",34000.000000
"Assistant Shift Manager","11 - 20 years",37440.000000
"Assistant staff","5-7 years",86000.000000
"Assistant Statistician","11 - 20 years",33176.000000
"Assistant Store Leader","21 - 30 years",65310.000000
"Assistant store manager","21 - 30 years",73000.000000
"Assistant Store Manager","11 - 20 years",60000.000000
"Assistant Store Manager","8 - 10 years",59800.000000
"Assistant Store Manager","5-7 years",50000.000000
"Assistant Store Manager","1 year or less",34920.000000
"Assistant store manager","31 - 40 years",28250.000000
"Assistant Store Manager ","5-7 years",74000.000000
"Assistant Supervisor","11 - 20 years",46400.000000
"Assistant Supervisor","5-7 years",33000.000000
"Assistant Teaching Professor","11 - 20 years",55062.500000
"Assistant Teaching Professor","5-7 years",54000.000000
"Assistant Teaching Professor ","11 - 20 years",56700.000000
"Assistant Team Lead","5-7 years",87500.000000
"Assistant Team Lead, HR Operations","2 - 4 years",74000.000000
"Assistant Team Manager","5-7 years",75000.000000
"Assistant Technical Director","2 - 4 years",43000.000000
"Assistant Technology Coordinator","5-7 years",36000.000000
"Assistant Theatre Manager","11 - 20 years",30000.000000
"Assistant to Chief of Programs ","2 - 4 years",50000.000000
"Assistant to Headmaster","8 - 10 years",51000.000000
"Assistant to Library Director","5-7 years",44900.000000
"Assistant to members","11 - 20 years",61000.000000
"Assistant to Property Managers","8 - 10 years",31500.000000
"Assistant to the (Press) Director","2 - 4 years",40800.000000
"Assistant to the Associate Superintendent","31 - 40 years",67900.000000
"Assistant to the CEO/Office Manager","8 - 10 years",51500.000000
"Assistant to the Chair II","21 - 30 years",65000.000000
"Assistant to the Director","5-7 years",76000.000000
"Assistant to the Manager","11 - 20 years",80000.000000
"Assistant to the President","5-7 years",53000.000000
"Assistant treasurer","21 - 30 years",55500.000000
"Assistant Underwriter ","1 year or less",450000.000000
"Assistant United States Attorney","21 - 30 years",177500.000000
"Assistant United States Attorney","11 - 20 years",122000.000000
"Assistant US Attorney","8 - 10 years",120000.000000
"Assistant Vice President","11 - 20 years",174333.333333
"Assistant Vice President","8 - 10 years",109000.000000
"Assistant Vice President ","11 - 20 years",103333.333333
"Assistant Vice President - Operations Supervisor","5-7 years",70000.000000
"Assistant Vice President for Student Affairs","21 - 30 years",114000.000000
"Assistant Vice President of Enrollment","11 - 20 years",95000.000000
"Assistant Vice President-Manager","5-7 years",158000.000000
"Assistant Vice President, Purchasing","31 - 40 years",170000.000000
"Assistant Video Editor","11 - 20 years",78000.000000
"Assistant VP of Information Technology","21 - 30 years",172000.000000
"Assistant VP/Claims Manager","11 - 20 years",114000.000000
"Assistant Winemaker","8 - 10 years",70884.000000
"Assistent Front Office Manager","2 - 4 years",23662.000000
"Assistive Technology Manager","5-7 years",80000.000000
"Assoc Dir Data Analysis","5-7 years",85000.000000
"Assoc director leadership giving","8 - 10 years",78000.000000
"Assoc Director, Corporate Insurance","21 - 30 years",165000.000000
"Assoc. HR Manager","8 - 10 years",113500.000000
assocaite,"5-7 years",360000.000000
Associate,"8 - 10 years",190584.000000
Associate,"5-7 years",166089.142857
Associate,"2 - 4 years",130258.148148
Associate,"11 - 20 years",126833.333333
Associate,"1 year or less",119400.000000
"Associate ","5-7 years",244000.000000
"Associate ","1 year or less",185000.000000
"Associate ","8 - 10 years",185000.000000
"Associate ","11 - 20 years",144500.000000
"Associate ","2 - 4 years",90000.000000
"Associate - Financial Reporting","8 - 10 years",85000.000000
"Associate - Labour & Employment","5-7 years",150000.000000
"Associate (Attorney) ","5-7 years",330000.000000
"Associate (consultant)","11 - 20 years",65000.000000
"Associate (Consulting)","21 - 30 years",108000.000000
"Associate 1","1 year or less",76000.000000
"Associate Account Director","11 - 20 years",116000.000000
"Associate Account Manager","5-7 years",52000.000000
"Associate Account Representative","1 year or less",141752.000000
"Associate Analytics Engineer","5-7 years",85000.000000
"Associate Architect","21 - 30 years",130000.000000
"Associate Architect","2 - 4 years",65000.000000
"Associate Archivist","11 - 20 years",75000.000000
"Associate archivist","2 - 4 years",56500.000000
"Associate Archivist","8 - 10 years",43696.000000
"Associate Art Director","8 - 10 years",100000.000000
"Associate Art Director","11 - 20 years",78000.000000
"Associate Attorneu","2 - 4 years",115000.000000
"Associate Attorney","8 - 10 years",137408.333333
"Associate Attorney","11 - 20 years",137075.000000
"Associate Attorney","5-7 years",122158.636364
"Associate Attorney","2 - 4 years",118114.545455
"Associate Attorney","21 - 30 years",115000.000000
"Associate Attorney","1 year or less",92500.000000
"Associate Attorney ","5-7 years",187166.666667
"Associate attorney ","8 - 10 years",175833.333333
"Associate Attorney ","2 - 4 years",145000.000000
"Associate Attorney (mid-level)","5-7 years",365000.000000
"Associate attorney (senior)","8 - 10 years",285000.000000
"Associate Banker","21 - 30 years",33800.000000
"Associate Banker","2 - 4 years",28000.000000
"Associate Brand Director","8 - 10 years",190000.000000
"Associate Brand Manager","11 - 20 years",129000.000000
"Associate Brand Manager","5-7 years",120000.000000
"Associate Brand Manager","8 - 10 years",119000.000000
"Associate Business Development","8 - 10 years",72475.000000
"Associate Capital Program Analyst","8 - 10 years",80700.000000
"Associate category manager","8 - 10 years",91200.000000
"Associate Chairperson","8 - 10 years",389000.000000
"Associate Channel Marketing Specialist","5-7 years",95000.000000
"Associate Client Manager","2 - 4 years",77000.000000
"Associate Clinical Professor","31 - 40 years",100000.000000
"Associate Communications Specialist","2 - 4 years",52000.000000
"Associate Consultand","5-7 years",75000.000000
"Associate Consultant","5-7 years",220000.000000
"Associate Consultant","2 - 4 years",156357.142857
"Associate Consultant","8 - 10 years",114000.000000
"Associate Consultant","11 - 20 years",103333.333333
"Associate Consultant ","2 - 4 years",81250.000000
"Associate Consultant ","5-7 years",55866.666667
"Associate Copy Chief & Manager of Digital Workflow","21 - 30 years",98500.000000
"associate copy editor","21 - 30 years",36000.000000
"Associate Counsel","11 - 20 years",150000.000000
"Associate Counsel","8 - 10 years",90957.500000
"Associate Counsel","2 - 4 years",55000.000000
"Associate Counsel ","5-7 years",190000.000000
"Associate Counsel ","21 - 30 years",84300.000000
"Associate Creative Director","21 - 30 years",150000.000000
"Associate Creative Director","11 - 20 years",136666.666667
"Associate Creative Director","8 - 10 years",121800.000000
"Associate creative director","5-7 years",119500.000000
"Associate Creative Director ","11 - 20 years",70000.000000
"Associate Creative Director - Art","11 - 20 years",175000.000000
"Associate Creative Director (freelance)","11 - 20 years",157000.000000
"Associate Credit Analyst","2 - 4 years",59740.000000
"Associate Data Analyst","8 - 10 years",64500.000000
"Associate Data Scientist","2 - 4 years",133000.000000
"associate dean","21 - 30 years",110000.000000
"Associate Dean","31 - 40 years",109333.333333
"Associate Dean for Communications","21 - 30 years",185000.000000
"Associate Department Chair","21 - 30 years",80000.000000
"Associate Dept. Chair","21 - 30 years",61000.000000
"Associate Designer","2 - 4 years",48000.000000
"Associate Development Director","11 - 20 years",38260.000000
"Associate Development Officer ","5-7 years",53000.000000
"Associate DevOps Engineer","2 - 4 years",95370.000000
"Associate Digital Implementation Manager","8 - 10 years",95680.000000
"Associate Digital Marketing Manager","2 - 4 years",102300.000000
"Associate Director","21 - 30 years",128385.714286
"Associate Director","31 - 40 years",114000.000000
"Associate Director","11 - 20 years",99018.419355
"Associate Director","8 - 10 years",96631.285714
"Associate Director","5-7 years",79800.000000
"Associate Director","2 - 4 years",62500.000000
"Associate Director ","31 - 40 years",209000.000000
"Associate Director ","11 - 20 years",128363.333333
"Associate Director ","21 - 30 years",114000.000000
"Associate Director ","8 - 10 years",110500.000000
"Associate director ","2 - 4 years",89000.000000
"Associate Director - Business Development","2 - 4 years",150000.000000
"Associate Director - Financial Operations ","8 - 10 years",91000.000000
"Associate Director - Operations","11 - 20 years",138000.000000
"Associate Director Analytics","11 - 20 years",62000.000000
"Associate Director Design + Dev","11 - 20 years",186000.000000
"Associate Director Development","11 - 20 years",160000.000000
"Associate Director Global Scientific Communications ","5-7 years",215000.000000
"Associate Director HR","8 - 10 years",97500.000000
"Associate Director HR","11 - 20 years",95000.000000
"Associate Director Medical Economics","8 - 10 years",128000.000000
"Associate Director of Academics","8 - 10 years",86103.000000
"Associate Director of Accounting","11 - 20 years",113300.000000
"Associate Director of Admission","11 - 20 years",66500.000000
"Associate Director of Admissions","11 - 20 years",100500.000000
"Associate Director of Admissions","21 - 30 years",87000.000000
"Associate Director of Admissions","8 - 10 years",75000.000000
"Associate Director of Admissions ","8 - 10 years",74000.000000
"Associate Director of Adolescent Initiatives","8 - 10 years",78000.000000
"Associate Director of Advancement","11 - 20 years",75000.000000
"Associate Director of Alumni Relations","11 - 20 years",90000.000000
"Associate Director of Alumni Relations","8 - 10 years",62500.000000
"Associate Director of Analytics","8 - 10 years",110000.000000
"Associate Director of Annual Giving","11 - 20 years",69000.000000
"Associate Director of Annual Giving","8 - 10 years",56500.000000
"Associate Director of Athletics Communications","2 - 4 years",50000.000000
"Associate Director of Communications","2 - 4 years",60000.000000
"Associate Director of Communications and Marketing","5-7 years",85000.000000
"Associate Director of Contracting Services ","8 - 10 years",92000.000000
"Associate Director of Culture and Entertainment","11 - 20 years",110000.000000
"Associate Director of Customer Service","11 - 20 years",47000.000000
"Associate Director of Design Services","11 - 20 years",67000.000000
"Associate Director of Development","11 - 20 years",78000.000000
"Associate Director of Development","8 - 10 years",62000.000000
"Associate Director of Development Services","11 - 20 years",80164.000000
"Associate Director of Donor Relations","11 - 20 years",73500.000000
"Associate Director of Education","8 - 10 years",48500.000000
"Associate Director of Evaluation","8 - 10 years",65400.000000
"Associate Director of Finance","8 - 10 years",84336.500000
"Associate Director of Financial Aid","11 - 20 years",90000.000000
"Associate Director of Foundation Relations ","5-7 years",62500.000000
"Associate Director of Grants and Proposals","8 - 10 years",52500.000000
"Associate Director of Guest Services","11 - 20 years",65000.000000
"Associate Director of Housing Operations","11 - 20 years",85000.000000
"Associate Director of Human Resources","11 - 20 years",63400.000000
"Associate Director of Marketing","8 - 10 years",129000.000000
"Associate Director of Marketing","11 - 20 years",113900.000000
"Associate Director of Marketing and Communications","21 - 30 years",100000.000000
"Associate Director of Media","5-7 years",102000.000000
"Associate Director of Membership & Events","11 - 20 years",43000.000000
"Associate Director of operations","5-7 years",86000.000000
"Associate Director of Operations","11 - 20 years",73556.000000
"Associate Director of Philanthropy Operations","11 - 20 years",115000.000000
"Associate Director of Product Management","21 - 30 years",310000.000000
"Associate Director of Programs","8 - 10 years",85000.000000
"Associate Director of Public Health Program","21 - 30 years",135000.000000
"Associate Director of Quality","21 - 30 years",111000.000000
"Associate Director of Recruitment and Engagement","11 - 20 years",67800.000000
"Associate Director of Research","8 - 10 years",59000.000000
"Associate Director of Resource Development","11 - 20 years",72500.000000
"Associate Director of Supply Chain","11 - 20 years",130000.000000
"Associate Director of Training ","11 - 20 years",160000.000000
"Associate Director of Undergraduate Admissions","8 - 10 years",74000.000000
"Associate Director of User Experience","8 - 10 years",148000.000000
"Associate Director of Youth Services","11 - 20 years",51000.000000
"Associate Director Paid Search","5-7 years",105000.000000
"Associate Director Project Management","11 - 20 years",200000.000000
"Associate Director Regulatory Affairs","11 - 20 years",165000.000000
"Associate Director, Alumni Relations","5-7 years",56000.000000
"Associate Director, Annual Fund ","8 - 10 years",82000.000000
"Associate Director, Annual Giving","11 - 20 years",82404.000000
"Associate Director, Annual Giving","5-7 years",58000.000000
"Associate Director, Application Support","8 - 10 years",108900.000000
"Associate Director, Arts Library","11 - 20 years",86000.000000
"Associate Director, Career Development ","8 - 10 years",48750.000000
"Associate director, clinical","11 - 20 years",247000.000000
"Associate Director, Communications","11 - 20 years",170500.000000
"Associate Director, Culture and Talent","8 - 10 years",87000.000000
"Associate Director, DEI","11 - 20 years",75000.000000
"Associate Director, Donor Engagement ","8 - 10 years",100000.000000
"Associate Director, EEO","11 - 20 years",90000.000000
"Associate Director, Executive Communications ","11 - 20 years",75000.000000
"Associate Director, external communications (press relations, pr, etc.)","21 - 30 years",114000.000000
"Associate Director, Finance Operations","8 - 10 years",120000.000000
"Associate Director, Financial Aid","11 - 20 years",66240.000000
"Associate Director, Graduate & Postdoctoral Affairs","11 - 20 years",92000.000000
"Associate Director, HR","11 - 20 years",137000.000000
"Associate Director, Individual Giving","11 - 20 years",100000.000000
"Associate Director, Information Governance","21 - 30 years",212000.000000
"Associate Director, Inside Sales","11 - 20 years",175000.000000
"Associate Director, Insights","11 - 20 years",77000.000000
"Associate Director, Investor Relations","8 - 10 years",82200.000000
"Associate Director, Market Access","11 - 20 years",195000.000000
"Associate Director, marketing","11 - 20 years",174375.000000
"Associate director, marketing communications","21 - 30 years",191000.000000
"Associate Director, Medical Affairs","11 - 20 years",189500.000000
"Associate Director, Medical Communications","11 - 20 years",193000.000000
"Associate Director, Office of Engagement","11 - 20 years",68000.000000
"Associate Director, Office of Sponsored Programs","11 - 20 years",108000.000000
"Associate Director, Procure-to-Pay Technology ","11 - 20 years",107000.000000
"Associate Director, Production Design","11 - 20 years",57000.000000
"Associate Director, Project Operations","8 - 10 years",75000.000000
"Associate Director, Science & Medicine","21 - 30 years",199000.000000
"Associate Director, Social Media","21 - 30 years",135000.000000
"Associate Director, Talent Acquisition","11 - 20 years",128800.000000
"Associate Director, University Career Center","11 - 20 years",70000.000000
"Associate Distribution designer","8 - 10 years",49500.000000
"Associate Dorector","5-7 years",99000.000000
"Associate Ecologist","1 year or less",46000.000000
"Associate Editor","5-7 years",60083.333333
"Associate Editor","11 - 20 years",51500.000000
"Associate editor","8 - 10 years",50800.000000
"Associate editor","2 - 4 years",42050.000000
"Associate Editor ","5-7 years",64000.000000
"Associate Editorial Director","8 - 10 years",88700.000000
"Associate Engineer","5-7 years",95000.000000
"Associate engineer, packaging ","1 year or less",87000.000000
"Associate Events Manager","8 - 10 years",42460.000000
"Associate Executive ","11 - 20 years",80000.000000
"Associate Executive Director","11 - 20 years",81250.000000
"Associate Executive Director, Advocacy & Governance","11 - 20 years",178000.000000
"Associate Finance Manager","8 - 10 years",110000.000000
"Associate Financial Advisor ","1 year or less",44000.000000
"Associate Financial Planner","11 - 20 years",65000.000000
"Associate Fund Accountant","2 - 4 years",65500.000000
"Associate General Counsel","11 - 20 years",238533.333333
"Associate General Counsel","5-7 years",233750.000000
"Associate General Counsel","21 - 30 years",195000.000000
"Associate General Counsel","8 - 10 years",129737.000000
"Associate General Counsel","1 year or less",100000.000000
"Associate General counsel ","11 - 20 years",369000.000000
"Associate general counsel ","8 - 10 years",155000.000000
"Associate General Counsel, IP","11 - 20 years",270000.000000
"Associate Governmental Program Analyst","31 - 40 years",64625.000000
"Associate Head, Library","21 - 30 years",90000.000000
"Associate Head: School of Sciences","11 - 20 years",128400.000000
"Associate In-House Counsel","8 - 10 years",122000.000000
"Associate Investment Advisor","8 - 10 years",52500.000000
"Associate IRB Chair","11 - 20 years",71000.000000
"Associate Lawyer","8 - 10 years",153950.000000
"Associate lawyer","11 - 20 years",140000.000000
"Associate Lawyer","5-7 years",135000.000000
"Associate Lawyer","2 - 4 years",95000.000000
"Associate Learning Designer","8 - 10 years",34000.000000
"Associate Librarian","8 - 10 years",108369.000000
"Associate Librarian","21 - 30 years",78686.000000
"Associate librarian","11 - 20 years",77413.000000
"Associate Library Director","21 - 30 years",72000.000000
"Associate Magazine Editor","11 - 20 years",57000.000000
"Associate Management Analyst","2 - 4 years",71177.000000
"Associate Manager","8 - 10 years",98800.000000
"Associate Manager","11 - 20 years",77490.000000
"Associate Manager","5-7 years",47000.000000
"Associate Manager ","8 - 10 years",126500.000000
"Associate Manager Original Series Development","11 - 20 years",135000.000000
"Associate Manager- HR Operations","5-7 years",96000.000000
"Associate Manager, Accounting","5-7 years",121250.000000
"Associate Manager, Education","5-7 years",74000.000000
"Associate Manager, Global Brand Marketing","5-7 years",125000.000000
"Associate Manager, Marketing","8 - 10 years",93600.000000
"Associate Managing Editor","11 - 20 years",113250.000000
"Associate Marketing Director","21 - 30 years",105017.000000
"Associate Marketing Director","5-7 years",60000.000000
"Associate Marketing Manager","2 - 4 years",68250.000000
"Associate marketing manager ","8 - 10 years",127600.000000
"Associate Marketing Manager ","5-7 years",97500.000000
"Associate Mechanical Engineer","1 year or less",69000.000000
"Associate Media Editor","5-7 years",49000.000000
"Associate Medical Director","11 - 20 years",260000.000000
"Associate Medical Director","8 - 10 years",135000.000000
"Associate Membership Director","5-7 years",43700.000000
"Associate Merchant","11 - 20 years",69400.000000
"Associate Network Engineer","21 - 30 years",79378.000000
"Associate of Talent Management and Culture","5-7 years",55000.000000
"Associate Partner","21 - 30 years",175000.000000
"Associate Partner ","21 - 30 years",260000.000000
"Associate Policy Principle","11 - 20 years",104500.000000
"associate principal","11 - 20 years",265000.000000
"Associate Principal","8 - 10 years",85000.000000
"Associate Principal ","11 - 20 years",98000.000000
"Associate Principal Scientist Lead","11 - 20 years",160000.000000
"Associate Process Engineer","2 - 4 years",85696.000000
"Associate Producer","5-7 years",82500.000000
"Associate Producer","8 - 10 years",72000.000000
"Associate Producer","2 - 4 years",63860.000000
"Associate Producer and Creative Executive","2 - 4 years",90000.000000
"Associate Product Manager","8 - 10 years",96750.000000
"Associate Product Manager","2 - 4 years",89231.250000
"Associate Product Manager","11 - 20 years",89000.000000
"Associate Product Manager","31 - 40 years",80000.000000
"Associate Product Manager","1 year or less",71000.000000
"Associate Product Manager","5-7 years",57500.000000
"Associate Product Manager ","2 - 4 years",68500.000000
"Associate Production Editor","2 - 4 years",47000.000000
"Associate Production Manager","8 - 10 years",52000.000000
"Associate Production Planning Manager","5-7 years",70500.000000
"Associate professor","11 - 20 years",133154.680000
"Associate Professor","41 years or more",108000.000000
"Associate Professor","8 - 10 years",103500.000000
"Associate Professor","31 - 40 years",92666.666667
"Associate professor","21 - 30 years",78807.900000
"Associate Professor ","21 - 30 years",308725.000000
"Associate Professor ","31 - 40 years",110000.000000
"Associate professor ","11 - 20 years",67375.000000
"Associate professor (tenured)","8 - 10 years",36000.000000
"Associate Professor / Department Chair","11 - 20 years",95000.000000
"Associate Professor & Academic Program Director","8 - 10 years",80000.000000
"Associate Professor and Program Coordinator","31 - 40 years",89000.000000
"Associate Professor of Business","8 - 10 years",140000.000000
"Associate Professor of Chemical Engineering","31 - 40 years",120000.000000
"Associate professor of clinical OT","8 - 10 years",104000.000000
"Associate Professor of English","11 - 20 years",64000.000000
"Associate Professor of History","21 - 30 years",139500.000000
"Associate Professor of Instruction","11 - 20 years",81200.000000
"Associate Professor of Management","11 - 20 years",165200.000000
"Associate Professor of Political Science","11 - 20 years",91000.000000
"Associate Professor-Librarian","21 - 30 years",98000.000000
"Associate Professor, Business Management","31 - 40 years",205000.000000
"Associate Professor, Library","31 - 40 years",60350.000000
"Associate Professor, Pharmacist","21 - 30 years",119000.000000
"Associate Professor, Theatre","31 - 40 years",157604.000000
"Associate Professor/Director","31 - 40 years",129320.000000
"Associate Program Manager","5-7 years",68200.000000
"Associate Program Manager","2 - 4 years",47000.000000
"Associate Program Officer","8 - 10 years",106500.000000
"associate project leader","8 - 10 years",89000.000000
"Associate Project Manager","5-7 years",91200.000000
"Associate Project Manager","21 - 30 years",79905.000000
"Associate Project Manager","11 - 20 years",77625.000000
"Associate Project Manager","2 - 4 years",64250.000000
"Associate Project Manager ","8 - 10 years",80000.000000
"Associate Project manager/Scrum Master","5-7 years",80000.000000
"Associate Publications Specialist","5-7 years",45750.000000
"Associate Publicist","5-7 years",55500.000000
"Associate Publicist","2 - 4 years",45000.000000
"Associate Publicity DIrector","11 - 20 years",97000.000000
"Associate Publisher","8 - 10 years",60000.000000
"Associate Publishing Manager","8 - 10 years",61500.000000
"Associate Recruiter","5-7 years",87000.000000
"Associate Recruiter","2 - 4 years",49000.000000
"Associate Registrar","8 - 10 years",79000.000000
"Associate Registrar","21 - 30 years",78000.000000
"Associate Registrar","11 - 20 years",73333.333333
"Associate Registrar","5-7 years",41043.000000
"Associate Research Professor","11 - 20 years",120000.000000
"Associate Research Scientist","1 year or less",112500.000000
"Associate Research Scientist","11 - 20 years",105000.000000
"Associate research scientist","8 - 10 years",74100.000000
"Associate Research Scientist","5-7 years",61003.000000
"Associate Research Scientist ","2 - 4 years",87000.000000
"Associate research specialist","5-7 years",36400.000000
"Associate Safety Officer","11 - 20 years",111000.000000
"Associate Scientific Director","5-7 years",104000.000000
"Associate Scientist","8 - 10 years",105000.000000
"Associate Scientist","2 - 4 years",73450.000000
"Associate Scientist","5-7 years",63500.000000
"Associate Scientist","1 year or less",48000.000000
"Associate Scientist ","2 - 4 years",113100.000000
"Associate Scientist ","8 - 10 years",68500.000000
"Associate Scientist II","2 - 4 years",81575.000000
"Associate Scientist III","1 year or less",89000.000000
"Associate Scientist IV","11 - 20 years",103000.000000
"Associate Social Producer","5-7 years",58000.000000
"Associate Software Developer","1 year or less",111000.000000
"Associate Software Engineer","1 year or less",107000.000000
"Associate software engineer","5-7 years",85500.000000
"Associate Software Engineer","11 - 20 years",73087.000000
"Associate software engineer","8 - 10 years",72500.000000
"Associate Solicitor ","2 - 4 years",66000.000000
"Associate Solutions Architect","2 - 4 years",135000.000000
"Associate Staff Firmware Engineer","21 - 30 years",215000.000000
"Associate Staff Scientist","21 - 30 years",82000.000000
"Associate Strategic Planner","2 - 4 years",60000.000000
"Associate Strategy Director","11 - 20 years",120000.000000
"Associate Strategy Director ","8 - 10 years",105000.000000
"Associate Systems Administrator","2 - 4 years",84000.000000
"Associate Systems Engineer","11 - 20 years",95000.000000
"Associate teaching professor ","11 - 20 years",101000.000000
"Associate Team Lead - Revenue Cycle","11 - 20 years",4452.000000
"Associate Technical Staff","2 - 4 years",125000.000000
"Associate Technology 2","11 - 20 years",82891.000000
"Associate Tutor","8 - 10 years",50000.000000
"Associate Underwriter","21 - 30 years",61825.000000
"Associate Vice Chancellor","11 - 20 years",130000.000000
"Associate Vice chancellor for academic affairs ","31 - 40 years",145000.000000
"Associate Vice President","11 - 20 years",238000.000000
"Associate Vice President","21 - 30 years",175000.000000
"Associate Vice President of Advancement Administration & Chief Annual Giving Officer","8 - 10 years",145000.000000
"Associate Vice President Students","21 - 30 years",155000.000000
"Associate VP","8 - 10 years",170000.000000
"Associate Water Resources Engineer","5-7 years",84000.000000
"Associate, Client Finance","11 - 20 years",41100.000000
"Associatiate Producer of Multimedia Content","5-7 years",82600.000000
"Association Manager","8 - 10 years",40000.000000
"Association Solutions","21 - 30 years",47000.000000
"Associste professor and department chair","11 - 20 years",57500.000000
"Assoicate Library Director","11 - 20 years",101000.000000
"asst digital editor and producer","1 year or less",38000.000000
"Asst director ","8 - 10 years",100000.000000
"Asst Librarian","5-7 years",40000.000000
"Asst Manager","11 - 20 years",54000.000000
"Asst Prof, Non-tenure track","11 - 20 years",62000.000000
"Asst Professor","11 - 20 years",64000.000000
"Asst Vice President/ loan officer ","11 - 20 years",71500.000000
"Asst vp planning","11 - 20 years",87000.000000
"Asst. Curator & Outreach Coordinator","11 - 20 years",30000.000000
"Asst. General Counsel","11 - 20 years",250186.000000
"Asst. Manager","21 - 30 years",80000.000000
"Asst. Manager","5-7 years",24960.000000
"Asst. Office Manager","8 - 10 years",52500.000000
"Asst. Program Director & Volunteer Coordinator","2 - 4 years",43680.000000
"Asst. social media manager","8 - 10 years",71000.000000
"Assurance Associate","2 - 4 years",55000.000000
"Assurance senior","5-7 years",73000.000000
"Assurance Senior Associate","2 - 4 years",71000.000000
"Assurance staff","1 year or less",60000.000000
Astronomer,"5-7 years",103000.000000
"Asylum Officer","5-7 years",94000.000000
"Asylum Officer","11 - 20 years",89380.000000
"Athletic Trainer","8 - 10 years",34500.000000
Attaché,"11 - 20 years",50600.000000
"Attending Physician (general internal medicine)","5-7 years",1900000.000000
Attorney,"21 - 30 years",245552.333333
Attorney,"31 - 40 years",187875.000000
Attorney,"11 - 20 years",156436.903226
Attorney,"8 - 10 years",153979.166667
Attorney,"5-7 years",147490.434783
Attorney,"2 - 4 years",112672.222222
"Attorney ","8 - 10 years",190000.000000
"Attorney ","21 - 30 years",188166.000000
"Attorney ","11 - 20 years",130652.500000
"Attorney ","31 - 40 years",130000.000000
"Attorney - Class B Shareholder","8 - 10 years",245000.000000
"Attorney (11+ years experience)","11 - 20 years",340000.000000
"Attorney (Junior Partner)","21 - 30 years",150000.000000
"Attorney (shareholder)","31 - 40 years",265000.000000
"Attorney 2","11 - 20 years",71194.000000
"Attorney 4 / Supervisor","8 - 10 years",85000.000000
"Attorney Adviser ","5-7 years",125000.000000
"Attorney Advisor","8 - 10 years",150750.000000
"Attorney Advisor","11 - 20 years",130067.000000
"Attorney Advisor","5-7 years",128307.000000
"Attorney advisor","21 - 30 years",90000.000000
"Attorney Advisor","1 year or less",59900.000000
"Attorney Editor","5-7 years",63033.000000
"Attorney editor","11 - 20 years",62500.000000
"Attorney Manager","8 - 10 years",108000.000000
"Attorney recruiting coordinator ","8 - 10 years",60000.000000
"Attorney Recruiting Manager","11 - 20 years",140000.000000
"Attorney Recruitment Coordinator","2 - 4 years",67000.000000
Attorney-Advisor,"11 - 20 years",137976.000000
"attorney, legal aid","5-7 years",70087.000000
"Audience Development Manager","8 - 10 years",76000.000000
"Audience Growth Manager ","5-7 years",62500.000000
"Audience Insights Manager","5-7 years",115000.000000
"Audio Editor","8 - 10 years",97000.000000
"Audio engineer","8 - 10 years",27000.000000
"Audio Systems Engineer","11 - 20 years",181500.000000
"Audio Visual Engineer","2 - 4 years",23000.000000
"Audio/Video Engineer","2 - 4 years",29000.000000
Audiologist,"8 - 10 years",114000.000000
Audiologist,"21 - 30 years",113000.000000
Audiologist,"11 - 20 years",96608.000000
Audiologist,"1 year or less",77000.000000
Audiologist,"2 - 4 years",60000.000000
"Audiologist ","5-7 years",89500.000000
Audiologist/President,"21 - 30 years",95000.000000
"Audiology technician/newborn hearing screener","21 - 30 years",47000.000000
"Audiovisual Design Associate","11 - 20 years",85000.000000
"Audiovisual Translator","2 - 4 years",240000.000000
audit,"11 - 20 years",22000.000000
"Audit & accounts assistant ","2 - 4 years",22500.000000
"Audit and Articulation Officer","5-7 years",62000.000000
"Audit Associate","11 - 20 years",70000.000000
"Audit associate","2 - 4 years",44125.000000
"Audit Associate ","1 year or less",75000.000000
"Audit Consultant ","11 - 20 years",172000.000000
"Audit Lead","2 - 4 years",101000.000000
