Job_Title,Experience_Level,avg_total_compensation
"Administratie assistant/associate","21 - 30 years",35000.000000
Administration,"21 - 30 years",55785.000000
Administration,"11 - 20 years",48880.000000
Administration,"2 - 4 years",47500.000000
"Administration ","21 - 30 years",145500.000000
"Administration ","5-7 years",52000.000000
"Administration ","11 - 20 years",46800.000000
"Administration ","1 year or less",42000.000000
"Administration 1","2 - 4 years",32000.000000
"Administration Director","21 - 30 years",83000.000000
"Administration Manager","8 - 10 years",44750.000000
"Administration Manager ","11 - 20 years",20800.000000
Administrative,"21 - 30 years",42500.000000
"Administrative & Operations Manager ","11 - 20 years",135000.000000
"Administrative Analyst","5-7 years",51000.000000
"Administrative Analyst II","8 - 10 years",124155.000000
"Administrative Analyst II","31 - 40 years",99000.000000
"Administrative and Communications Assistant","5-7 years",58000.000000
"Administrative and Data Coordinator","5-7 years",46000.000000
"Administrative and HR Manager","5-7 years",50000.000000
"Administrative and Human Resources Assistant","11 - 20 years",31200.000000
"Administrative Assistant","31 - 40 years",52920.000000
"Administrative Assistant","8 - 10 years",48740.588235
"Administrative Assistant","11 - 20 years",47452.548387
"Administrative Assistant","21 - 30 years",45610.000000
"Administrative Assistant","2 - 4 years",43339.333333
"Administrative Assistant","5-7 years",39414.843750
"Administrative Assistant ","5-7 years",56250.000000
"Administrative Assistant ","31 - 40 years",50333.333333
"Administrative Assistant ","21 - 30 years",47747.166667
"Administrative assistant ","11 - 20 years",45690.000000
"Administrative assistant ","2 - 4 years",40818.750000
"Administrative Assistant ","1 year or less",40000.000000
"Administrative Assistant ","8 - 10 years",39480.000000
"Administrative Assistant - HR","11 - 20 years",46450.000000
"Administrative Assistant - Intermediate","21 - 30 years",43618.000000
"Administrative assistant (part time)","2 - 4 years",15000.000000
"Administrative Assistant / Marketing Coordinator","8 - 10 years",53000.000000
"Administrative Assistant 3","11 - 20 years",50920.000000
"Administrative Assistant I","41 years or more",53000.000000
"Administrative Assistant II","11 - 20 years",63681.000000
"administrative assistant II","21 - 30 years",50003.000000
"Administrative Assistant II","2 - 4 years",35000.000000
"Administrative Assistant II","8 - 10 years",30414.000000
"Administrative Assistant III","21 - 30 years",47250.000000
"Administrative Assistant IV","21 - 30 years",52030.000000
"Administrative Assistant: English Instructor","11 - 20 years",31000.000000
"Administrative assistant/ client service specialist ","11 - 20 years",52000.000000
