Country,Job_Title,annual_salary
"USA-- Virgin Islands",Accountant,75000.00
"USA, but for foreign gov't","Policy Adviser",74000.00
USaa,"Production Scheduler",73000.00
USAB,"Special Education Teacher ",65000.00
Usat,"Exec chef",125000.00
USD,"Senior Corporate Counsel",180000.00
USS,"Lead Medical Technologist",64000.00
UXZ,"Business and Industry Specialist",103690.00
Vietnam,"head of school",210000.00
Virginia,Attorney,94500.00
Wales,"Engineering Manager",77000.00
"Wales (UK)","Parenting support worker",21500.00
"Wales (United Kingdom)","IT Service Manager",36027.00
"Wales, UK","Executive Assistant to Functional Directors",30300.00
Y,"Area Manager",125000.00
Zimbabwe,Chef,50000.00
